Page, Page to Image Conversion Time (s), Image to Markdown Generation Time (s), Total Page Time (s)
   1,                              0.48,                                 98.49,               98.97
   2,                              0.24,                                137.88,              138.16
   3,                              0.25,                                200.10,              200.38
   4,                              0.22,                                335.99,              336.22
   5,                              0.36,                                657.01,              657.53
   6,                              0.40,                                431.63,              432.09
   7,                              0.43,                                446.16,              446.65
   8,                              0.80,                                667.89,              668.78
   9,                              1.05,                               4032.02,             4033.25
  10,                              0.29,                               3875.96,             3876.33
  11,                              0.27,                                269.76,              270.41
  12,                              0.25,                                190.57,              190.87
  13,                              0.24,                                147.90,              148.17
  14,                              0.22,                                139.62,              139.89
  15,                              0.19,                                176.81,              177.03
  16,                              0.31,                                202.65,              203.01
  17,                              0.26,                                229.57,              229.86
  18,                              0.29,                                191.97,              192.29
  19,                              0.27,                                174.15,              174.81
  20,                              0.28,                                186.37,              186.69
  21,                              0.26,                                243.93,              244.23
  22,                              0.28,                                202.12,              202.44
  23,                              0.33,                               2611.14,             2611.52
  24,                              0.72,                               8003.78,             8004.96
  25,                              0.27,                                210.15,              210.85
  26,                              0.30,                                168.45,              168.79
  27,                              0.57,                                161.69,              162.29
  28,                              0.28,                                290.66,              290.98
  29,                              0.29,                                179.92,              180.27
  30,                              0.28,                                164.47,              164.88
  31,                              0.21,                                202.66,              202.88
  32,                              0.28,                                196.82,              197.53
  33,                              0.60,                                162.56,              163.20
  34,                              0.24,                                247.02,              247.29
  35,                              0.18,                                136.97,              137.52
  36,                              0.18,                                146.87,              147.07
  37,                              0.19,                               3269.27,             3269.48
  38,                              0.32,                                251.95,              252.73
  39,                              0.23,                                256.05,              256.33
  40,                              0.24,                                219.91,              220.20
  41,                              0.26,                                250.49,              251.15
  42,                              0.27,                                215.87,              216.58
  43,                              0.26,                               5123.67,             5124.36
  44,                              0.33,                                419.80,              420.55
  45,                              0.34,                               5379.76,             5380.17
  46,                              0.29,                                308.40,              309.13
  47,                              0.30,                                374.49,              374.84
